logged_at,season,week,game_id,gameday,home_team,away_team,market_spread,model_spread,edge,p_home_covers,bet_placed,closing_line,actual_result,clv
2026-08-02T20:40:55Z,2026,1,2026_01_NE_SEA,2026-09-09,SEA,NE,3.5,0.66,-2.84,0.484,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_CHI_CAR,2026-09-13,CAR,CHI,-2.5,1.51,4.01,0.4964,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_NO_DET,2026-09-13,DET,NO,7.0,2.4,-4.6,0.4808,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_BUF_HOU,2026-09-13,HOU,BUF,-1.5,1.81,3.31,0.4951,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_BAL_IND,2026-09-13,IND,BAL,-3.5,1.67,5.17,0.4985,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_CLE_JAX,2026-09-13,JAX,CLE,7.5,3.3,-4.2,0.4815,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_ARI_LAC,2026-09-13,LAC,ARI,11.5,0.42,-11.08,0.4691,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_MIA_LV,2026-09-13,LV,MIA,3.5,0.61,-2.89,0.4839,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_WAS_PHI,2026-09-13,PHI,WAS,4.5,1.37,-3.13,0.4835,N,,,
2026-08-02T20:40:55Z,2026,1,2026_01_DAL_NYG,2026-09-13,NYG,DAL,-2.5,0.86,3.36,0.4952,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_NO_BAL,2026-09-20,BAL,NO,7.5,3.34,-4.16,0.4816,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_GB_NYJ,2026-09-20,NYJ,GB,-6.0,2.44,8.44,0.5044,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,6.0,3.88,-2.12,0.4853,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_PHI_TEN,2026-09-20,TEN,PHI,-4.5,2.71,7.21,0.5022,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_LV_LAC,2026-09-20,LAC,LV,8.5,2.35,-6.15,0.478,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_SEA_ARI,2026-09-20,ARI,SEA,-10.0,3.2,13.2,0.513,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_MIA_SF,2026-09-20,SF,MIA,10.5,3.14,-7.36,0.4758,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_IND_KC,2026-09-20,KC,IND,6.5,0.68,-5.82,0.4786,N,,,
2026-08-02T20:40:55Z,2026,2,2026_02_NYG_LA,2026-09-21,LA,NYG,8.5,3.57,-4.93,0.4802,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_ATL_GB,2026-09-24,GB,ATL,7.5,2.41,-5.09,0.4799,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_CAR_CLE,2026-09-27,CLE,CAR,-1.5,1.03,2.53,0.4937,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_NYJ_DET,2026-09-27,DET,NYJ,9.5,2.19,-7.31,0.4759,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_HOU_IND,2026-09-27,IND,HOU,-1.5,2.77,4.27,0.4969,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_KC_MIA,2026-09-27,MIA,KC,-7.5,3.75,11.25,0.5095,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_CIN_PIT,2026-09-27,PIT,CIN,-1.5,2.13,3.63,0.4957,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_SEA_WAS,2026-09-27,WAS,SEA,-3.5,3.56,7.06,0.5019,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_ARI_SF,2026-09-27,SF,ARI,11.5,2.17,-9.33,0.4722,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_MIN_TB,2026-09-27,TB,MIN,1.5,4.86,3.36,0.4952,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_BAL_DAL,2026-09-27,DAL,BAL,-2.5,2.68,5.18,0.4985,N,,,
2026-08-02T20:40:55Z,2026,3,2026_03_LA_DEN,2026-09-27,DEN,LA,-3.0,1.05,4.05,0.4965,N,,,
2026-08-02T20:40:55Z,2026,4,2026_04_PIT_CLE,2026-10-01,CLE,PIT,-2.5,0.65,3.15,0.4948,N,,,
2026-08-02T20:40:55Z,2026,4,2026_04_NYJ_CHI,2026-10-04,CHI,NYJ,8.5,2.38,-6.12,0.4781,N,,,
